type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.40926,9.65323,50,0,7.403,71.93,,
T,52.40977,9.65254,50,0,7.477,73.66,,
T,52.41011,9.65209,50,0,7.526,48.67,,
T,52.41016,9.65203,50,0,7.532,6.9,,
T,52.4106,9.65143,50,0,7.596,63.75,,
T,52.41073,9.65125,50,0,7.615,18.95,,
T,52.41126,9.65054,50,0,7.691,76.24,,
T,52.41181,9.64979,50,0,7.771,79.69,,
T,52.41198,9.64956,50,0,7.796,24.55,,
T,52.41211,9.6494,50,0,7.814,18.11,,
T,52.41226,9.64919,50,0,7.836,21.97,,
T,52.41253,9.64882,50,0,7.875,39.2,,
T,52.41274,9.64854,50,0,7.905,30.15,,
T,52.41281,9.64845,50,0,7.915,9.91,,
T,52.41295,9.64825,50,0,7.936,20.69,,
T,52.41301,9.64818,50,0,7.944,8.2,,
T,52.41307,9.64807,50,0,7.954,10.03,,
T,52.41316,9.64794,50,0,7.967,13.36,,
T,52.41323,9.64782,50,0,7.979,11.28,,
T,52.4134,9.64753,50,0,8.006,27.34,,
T,52.41356,9.64722,50,0,8.033,27.6,,
T,52.41361,9.64709,50,0,8.044,10.45,,
T,52.41365,9.647,50,0,8.052,7.57,,
T,52.41371,9.64685,50,0,8.064,12.2,,
T,52.41373,9.64679,50,0,8.068,4.65,,
T,52.41379,9.64663,50,0,8.081,12.77,,
T,52.41382,9.64656,50,0,8.087,5.82,,
T,52.41384,9.64648,50,0,8.093,5.88,,
T,52.41387,9.64641,50,0,8.099,5.82,,
T,52.41388,9.64637,50,0,8.102,2.94,,
T,52.4139,9.64632,50,0,8.106,4.07,,
T,52.41394,9.64616,50,0,8.117,11.76,,
T,52.41397,9.64608,50,0,8.124,6.39,,
T,52.41401,9.64592,50,0,8.136,11.76,,
T,52.41403,9.64584,50,0,8.141,5.88,,
T,52.41406,9.64568,50,0,8.153,11.39,,
T,52.41408,9.6456,50,0,8.159,5.88,,
T,52.4141,9.6455,50,0,8.166,7.16,,
T,52.41412,9.64542,50,0,8.172,5.88,,
T,52.41417,9.64516,50,0,8.19,18.55,,
T,52.41419,9.64499,50,0,8.202,11.78,,
T,52.4142,9.64495,50,0,8.205,2.94,,
T,52.41426,9.6446,50,0,8.23,24.73,,
T,52.4143,9.64434,50,0,8.248,18.24,,
T,52.41431,9.64432,50,0,8.25,1.76,,
T,52.41436,9.64397,50,0,8.274,24.46,,
T,52.41439,9.64381,50,0,8.286,11.39,,
T,52.41442,9.64365,50,0,8.297,11.39,,
T,52.41447,9.64339,50,0,8.316,18.55,,
T,52.4145,9.64322,50,0,8.328,12.04,,
T,52.41454,9.64306,50,0,8.339,11.76,,
