type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.46859,5.40544,23,353.2,7.141,29.13,,
T,51.46888,5.40539,22.6,353.9,7.174,32.45,,
T,51.46892,5.40539,22.6,0,7.178,4.45,,
T,51.46919,5.40536,22.3,356,7.208,30.11,,
T,51.46935,5.40533,22.1,353.3,7.226,17.92,,
T,51.47,5.40528,21,357.3,7.299,72.4,,
T,51.47035,5.40527,20,359,7.337,38.95,,
T,51.47042,5.40527,20,0,7.345,7.79,,
T,51.47092,5.40528,19,0.7,7.401,55.63,,
T,51.47093,5.40528,19,0,7.402,1.11,,
T,51.47116,5.40528,19,0,7.428,25.59,,
T,51.4713,5.40528,19,0,7.443,15.58,,
T,51.47141,5.40528,18.9,0,7.455,12.24,,
T,51.4715,5.40529,18.6,4,7.465,10.04,,
T,51.47159,5.40529,18.3,0,7.475,10.01,,
T,51.47162,5.40529,18.2,0,7.479,3.34,,
T,51.47174,5.4053,18,3,7.492,13.37,,
T,51.47185,5.4053,18,0,7.504,12.24,,
T,51.47194,5.40531,18,4,7.514,10.04,,
T,51.47196,5.40531,18,0,7.517,2.23,,
T,51.47207,5.40531,18,0,7.529,12.24,,
T,51.47218,5.40532,18,3.2,7.541,12.26,,
T,51.4723,5.40532,18,0,7.554,13.35,,
T,51.47241,5.40532,18.1,0,7.567,12.24,,
T,51.47255,5.40532,18.2,0,7.582,15.58,,
T,51.47255,5.40532,18.2,0,7.582,0,,
T,51.47262,5.40542,18.5,41.7,7.593,10.44,,
T,51.47263,5.40542,18.5,0,7.594,1.11,,
T,51.47295,5.40542,18.8,0,7.629,35.6,,
T,51.47312,5.40541,19,357.9,7.648,18.93,,
T,51.47315,5.4054,19,348.3,7.652,3.41,,
T,51.47344,5.40538,19.2,357.5,7.684,32.29,,
T,51.47347,5.40537,19.3,348.3,7.687,3.41,,
T,51.47373,5.40534,19.7,355.9,7.716,29,,
T,51.4739,5.40532,19.7,355.8,7.735,18.96,,
T,51.47415,5.40528,20.9,354.3,7.763,27.95,,
T,51.47419,5.40527,20.9,351.1,7.768,4.5,,
